idEvent,idSoccerXML,idAPIfootball,strEvent,strEventAlternate,strFilename,strSport,idLeague,strLeague,strSeason,strDescriptionEN,strHomeTeam,strAwayTeam,intHomeScore,intRound,intAwayScore,intSpectators,strOfficial,strTimestamp,dateEvent,dateEventLocal,strTime,strTimeLocal,strTVStation,idHomeTeam,idAwayTeam,intScore,intScoreVotes,strResult,strVenue,strCountry,strCity,strPoster,strSquare,strFanart,strThumb,strBanner,strMap,strTweet1,strTweet2,strTweet3,strVideo,strStatus,strPostponed,strLocked
1780951,,135719,San Diego Padres vs Seattle Mariners,Seattle Mariners @ San Diego Padres,MLB 2023-02-24 San Diego Padres vs Seattle Mariners,Baseball,4424,MLB,2023,,San Diego Padres,Seattle Mariners,2,0,3,,,2023-02-24T20:10:00+00:00,2023-02-24,,20:10:00,,,135278,135262,,, San Diego Padres Innings:<br>0 0 0 0 0 0 0 2 0 <br>Hits: 8 - Errors: 1<br><br>Seattle Mariners Innings:<br>0 0 0 3 0 0 0 0 0 <br>Hits: 8 - Errors: 0,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/vbfhg61675977278.jpg,,,,,,,FT,no,unlocked
1780952,,135720,Kansas City Royals vs Texas Rangers,Texas Rangers @ Kansas City Royals,MLB 2023-02-24 Kansas City Royals vs Texas Rangers,Baseball,4424,MLB,2023,,Kansas City Royals,Texas Rangers,6,0,5,,,2023-02-24T20:05:00+00:00,2023-02-24,,20:05:00,,,135257,135264,,, Kansas City Royals Innings:<br>2 0 0 2 1 0 0 0 1 <br>Hits: 8 - Errors: 1<br><br>Texas Rangers Innings:<br>0 3 0 0 0 0 1 1 0 <br>Hits: 9 - Errors: 2,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/6ebcc31675977279.jpg,,,,,,,FT,no,unlocked
1780953,,135721,Detroit Tigers vs Philadelphia Phillies,Philadelphia Phillies @ Detroit Tigers,MLB 2023-02-25 Detroit Tigers vs Philadelphia Phillies,Baseball,4424,MLB,2023,,Detroit Tigers,Philadelphia Phillies,4,0,2,,,2023-02-25T18:05:00+00:00,2023-02-25,,18:05:00,,,135255,135276,,, Detroit Tigers Innings:<br>0 0 1 0 0 1 2 0  <br>Hits: 6 - Errors: 0<br><br>Philadelphia Phillies Innings:<br>0 0 0 0 0 0 2 0 0 <br>Hits: 6 - Errors: 2,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/2sugrr1675977280.jpg,,,,,,,FT,no,unlocked
1780954,,135722,Philadelphia Phillies vs New York Yankees,New York Yankees @ Philadelphia Phillies,MLB 2023-02-25 Philadelphia Phillies vs New York Yankees,Baseball,4424,MLB,2023,,Philadelphia Phillies,New York Yankees,7,0,4,,,2023-02-25T18:05:00+00:00,2023-02-25,,18:05:00,,,135276,135260,,, Philadelphia Phillies Innings:<br>0 2 0 0 2 0 2 1  <br>Hits: 11 - Errors: 0<br><br>New York Yankees Innings:<br>0 0 1 0 3 0 0 0 0 <br>Hits: 6 - Errors: 1,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/orbi561675977280.jpg,,,,,,,FT,no,unlocked
1780955,,135723,Chicago Cubs vs San Francisco Giants,San Francisco Giants @ Chicago Cubs,MLB 2023-02-25 Chicago Cubs vs San Francisco Giants,Baseball,4424,MLB,2023,,Chicago Cubs,San Francisco Giants,10,0,8,,,2023-02-25T20:05:00+00:00,2023-02-25,,20:05:00,,,135269,135279,,, Chicago Cubs Innings:<br>0 1 1 0 7 0 0 1  <br>Hits: 12 - Errors: 0<br><br>San Francisco Giants Innings:<br>1 0 1 3 0 2 0 0 1 <br>Hits: 13 - Errors: 6,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/l4pxjw1675977281.jpg,,,,,,,FT,no,unlocked
1780956,,135724,Arizona Diamondbacks vs Colorado Rockies,Colorado Rockies @ Arizona Diamondbacks,MLB 2023-02-25 Arizona Diamondbacks vs Colorado Rockies,Baseball,4424,MLB,2023,,Arizona Diamondbacks,Colorado Rockies,5,0,12,,,2023-02-25T20:10:00+00:00,2023-02-25,,20:10:00,,,135267,135271,,, Arizona Diamondbacks Innings:<br>1 0 0 1 1 0 1 1 0 <br>Hits: 12 - Errors: 2<br><br>Colorado Rockies Innings:<br>2 2 0 0 0 3 2 2 1 <br>Hits: 15 - Errors: 1,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/1pnwrt1675977281.jpg,,,,,,,FT,no,unlocked
1780957,,135725,Milwaukee Brewers vs Los Angeles Dodgers,Los Angeles Dodgers @ Milwaukee Brewers,MLB 2023-02-25 Milwaukee Brewers vs Los Angeles Dodgers,Baseball,4424,MLB,2023,,Milwaukee Brewers,Los Angeles Dodgers,7,0,4,,,2023-02-25T20:10:00+00:00,2023-02-25,,20:10:00,,,135274,135272,,, Milwaukee Brewers Innings:<br>1 0 2 0 2 2 0 0  <br>Hits: 9 - Errors: 0<br><br>Los Angeles Dodgers Innings:<br>0 0 2 0 0 0 2 0 0 <br>Hits: 6 - Errors: 1,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/qig61q1675977282.jpg,,,,,,,FT,no,unlocked
1780958,,135726,New York Mets vs Miami Marlins,Miami Marlins @ New York Mets,MLB 2023-02-25 New York Mets vs Miami Marlins,Baseball,4424,MLB,2023,,New York Mets,Miami Marlins,5,0,2,,,2023-02-25T23:10:00+00:00,2023-02-25,,23:10:00,,,135275,135273,,, New York Mets Innings:<br>0 2 1 0 2 0 0 0  <br>Hits: 10 - Errors: 1<br><br>Miami Marlins Innings:<br>0 1 1 0 0 0 0 0 0 <br>Hits: 3 - Errors: 1,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/cnfrdx1675977282.jpg,,,,,,,FT,no,unlocked
1780959,,135727,St. Louis Cardinals vs Washington Nationals,Washington Nationals @ St. Louis Cardinals,MLB 2023-02-25 St. Louis Cardinals vs Washington Nationals,Baseball,4424,MLB,2023,,St. Louis Cardinals,Washington Nationals,2,0,3,,,2023-02-25T18:05:00+00:00,2023-02-25,,18:05:00,,,135280,135281,,, St. Louis Cardinals Innings:<br>0 0 2 0 0 0 0 0 0 <br>Hits: 5 - Errors: 1<br><br>Washington Nationals Innings:<br>1 0 0 0 0 0 0 1 1 <br>Hits: 9 - Errors: 1,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/aecve11675977283.jpg,,,,,,,FT,no,unlocked
1780960,,135728,Seattle Mariners vs Los Angeles Angels,Los Angeles Angels @ Seattle Mariners,MLB 2023-02-25 Seattle Mariners vs Los Angeles Angels,Baseball,4424,MLB,2023,,Seattle Mariners,Los Angeles Angels,1,0,5,,,2023-02-25T20:10:00+00:00,2023-02-25,,20:10:00,,,135262,135258,,, Seattle Mariners Innings:<br>0 0 0 0 1 0 0 0 0 <br>Hits: 5 - Errors: 0<br><br>Los Angeles Angels Innings:<br>0 4 0 1 0 0 0 0 0 <br>Hits: 10 - Errors: 0,,USA,,,,,https://www.thesportsdb.com/images/media/event/thumb/j6ll1g1675977283.jpg,,,,,,,FT,no,unlocked
